id,time
1,0
1,2.18
1,4.41
1,8.65
1,10.42
1,11.44
1,16.11
1,19.02
1,22.1
2,0
2,1.83
2,4.07
2,7.25
2,9.949999999999999
2,11.77
2,14.99
2,17.9
2,26.13
3,0
3,2.17
3,3.53
3,7.12
3,10.7
3,11.97
3,15.7
3,18.5
3,29.48
4,0
4,2.4
4,4.03
4,6.57
4,8.6
4,11.26
4,16.37
4,22.13
4,24.61
5,0
5,2.14
5,3.39
5,6.75
5,9.69
5,9.880000000000001
5,17.54
5,18.79
5,23.21
6,0
6,2.13
6,3.96
6,7.37
6,10.41
6,14.17
6,16.45
6,21.04
6,24.85
7,0
7,2.02
7,4.71
7,6.41
7,10.12
7,13.75
7,15.63
7,18
7,22
8,0
8,1.84
8,3.9
8,6.72
8,9.82
8,12.5
8,17.03
8,23.65
8,23.84
9,0
9,2.32
9,4.74
9,7.03
9,9.67
9,10
9,18.39
9,18.43
9,21.45
10,0
10,2.05
10,3.99
10,5.33
10,9.9
10,13.23
10,16.68
10,21.91
10,29.27
11,0
11,1.9
11,4.29
11,6.86
11,9.02
11,9.48
11,14.79
11,21
11,29.81
12,0
12,2.13
12,3.63
12,7.11
12,8.119999999999999
12,12.6
12,17.15
12,20.37
12,25.74
13,0
13,2.16
13,4.81
13,7.82
13,10.03
13,10.73
13,16.68
13,19.22
13,27.87
14,0
14,1.92
14,4.17
14,6.89
14,9.41
14,11.64
14,17.04
14,21.87
14,25.64
15,0
15,2.25
15,4.12
15,6.55
15,12.84
15,13.39
15,14.94
15,20.38
15,23.23
16,0
16,1.82
16,4.05
16,7.23
16,8.68
16,8.98
16,15.6
16,20.06
16,25.47
17,0
17,2.08
17,3.58
17,7.52
17,10.75
17,12.31
17,18.33
17,20.83
17,24.64
18,0
18,2.09
18,4.45
18,7.32
18,10.69
18,10.71
18,15.42
18,21.24
18,23.18
19,0
19,2.08
19,4.41
19,6.76
19,10.06
19,10.16
19,16.55
19,18.71
19,23.43
20,0
20,2.08
20,4.28
20,6.79
20,12
20,12.83
20,17.59
20,22.49
20,24.55
21,0
21,2.21
21,4
21,7.23
21,9.039999999999999
21,12.58
21,14.92
21,21.7
21,22.13
22,0
22,1.84
22,3.9
22,5.99
22,10.13
22,13.24
22,16.3
22,16.76
22,22.56
23,0
23,2.4
23,3.56
23,6.75
23,10.36
23,12.39
23,15.1
23,18.18
23,23.57
24,0
24,2
24,3.75
24,6.66
24,11.48
24,11.75
24,17.27
24,23.17
24,25.09
25,0
25,1.99
25,3.81
25,7.91
25,9.85
25,14.01
25,15.13
25,18.75
25,24.35
26,0
26,1.9
26,3.41
26,7.02
26,9.31
26,13.37
26,14.55
26,22.38
26,22.49
27,0
27,2.19
27,3.8
27,7.4
27,9.91
27,10.71
27,15.57
27,23.49
27,23.52
28,0
28,1.99
28,4.13
28,7.7
28,11.21
28,12.12
28,17.98
28,18.53
28,18.98
29,0
29,1.9
29,3.17
29,7.41
29,9.25
29,11.73
29,13.65
29,21.13
29,29
30,0
30,1.98
30,4.86
30,7.69
30,11.99
30,12.11
30,15.76
30,19.01
