parameter,value,CV
F_pop,0.799889567822337,
beta_F_SEX_1,-0.0727017348438751,
beta_F_WT,-0.012675512681091,
Tk0_pop,18458.471159034,
beta_Tk0_WT,-0.130447371445032,
beta_Tk0_logtWT,9.82535731140149,
V_pop,22.4663410904968,
beta_V_WT,0.0157005659277257,
k_pop,0.0957567977083164,
omega_F,0.127913673144619,2.56706204597335
omega_Tk0,0.145927061692058,14.6707387741806
omega_V,0.176440107859141,17.7822249819122
omega_k,0.232727151279475,23.5914237357685
corr_Tk0_F,0.782940096637596,
corr_V_F,0.414634788006537,
corr_k_F,0.842130876518094,
corr_V_Tk0,0.747414969224907,
corr_k_Tk0,0.585362244350642,
corr_k_V,0.192156989267842,
b,0.126413356440872,
